Country,category,term_frequency,TopicShare,TopicShare_pct
Italy,Health and vulnerability,59,0.0471622701838529,4.716
Italy,Household behaviour and adoption,36,0.0287769784172661,2.878
Italy,Housing and thermal comfort,13,0.0103916866506794,1.039
Italy,Welfare and care,47,0.0375699440447641,3.757
Ivory Coast,Governance and planning,4,0.8,80.0
Ivory Coast,Welfare and care,1,0.2,20.0
Jamaica,Affordability and income constraints,1,0.0038167938931297,0.382
Jamaica,Energy transition and efficiency,2,0.0076335877862595,0.763
Jamaica,Governance and planning,230,0.8778625954198473,87.786
Jamaica,Health and vulnerability,6,0.0229007633587786,2.29
Jamaica,Household behaviour and adoption,1,0.0038167938931297,0.382
Jamaica,Housing and thermal comfort,4,0.015267175572519,1.527
Jamaica,Welfare and care,18,0.0687022900763358,6.87
Japan,Affordability and income constraints,7,0.0053598774885145,0.536
Japan,Energy transition and efficiency,28,0.0214395099540581,2.144
Japan,Governance and planning,1206,0.9234303215926492,92.343
Japan,Health and vulnerability,13,0.0099540581929555,0.995
Japan,Household behaviour and adoption,10,0.007656967840735,0.766
Japan,Housing and thermal comfort,13,0.0099540581929555,0.995
Japan,Welfare and care,29,0.0222052067381317,2.221
Jordan,Governance and planning,9,0.9,90.0
Jordan,Health and vulnerability,1,0.1,10.0
Kenya,Affordability and income constraints,22,0.0141297366730892,1.413
Kenya,Energy transition and efficiency,24,0.0154142581888246,1.541
Kenya,Governance and planning,1300,0.8349389852280026,83.494
Kenya,Health and vulnerability,70,0.0449582530507386,4.496
Kenya,Household behaviour and adoption,18,0.0115606936416184,1.156
Kenya,Housing and thermal comfort,58,0.0372511239563262,3.725
Kenya,Welfare and care,65,0.0417469492614001,4.175
Kiribati,Energy transition and efficiency,2,0.0235294117647058,2.353
Kiribati,Governance and planning,75,0.8823529411764706,88.235
Kiribati,Health and vulnerability,2,0.0235294117647058,2.353
Kiribati,Household behaviour and adoption,1,0.0117647058823529,1.176
Kiribati,Housing and thermal comfort,3,0.0352941176470588,3.529
Kiribati,Welfare and care,2,0.0235294117647058,2.353
Kosovo,Energy transition and efficiency,12,0.052863436123348,5.286
Kosovo,Governance and planning,198,0.8722466960352423,87.225
Kosovo,Health and vulnerability,3,0.013215859030837,1.322
Kosovo,Household behaviour and adoption,1,0.0044052863436123,0.441
Kosovo,Housing and thermal comfort,3,0.013215859030837,1.322
Kosovo,Welfare and care,10,0.0440528634361233,4.405
Kuwait,Affordability and income constraints,3,0.2142857142857142,21.429
Kuwait,Governance and planning,9,0.6428571428571429,64.286
Kuwait,Welfare and care,2,0.1428571428571428,14.286
Kyrgyzstan,Governance and planning,3,0.75,75.0
Kyrgyzstan,Welfare and care,1,0.25,25.0
Laos,Affordability and income constraints,1,0.02,2.0
Laos,Energy transition and efficiency,1,0.02,2.0
Laos,Governance and planning,41,0.82,82.0
Laos,Housing and thermal comfort,1,0.02,2.0
Laos,Welfare and care,6,0.12,12.0
Latvia,Affordability and income constraints,3,0.0058027079303675,0.58
Latvia,Energy transition and efficiency,1,0.0019342359767891,0.193
Latvia,Governance and planning,447,0.8646034816247582,86.46
Latvia,Health and vulnerability,18,0.034816247582205,3.482
Latvia,Household behaviour and adoption,6,0.011605415860735,1.161
Latvia,Housing and thermal comfort,9,0.0174081237911025,1.741
Latvia,Welfare and care,33,0.0638297872340425,6.383
Lebanon,Energy transition and efficiency,5,0.0255102040816326,2.551
Lebanon,Governance and planning,153,0.7806122448979592,78.061
Lebanon,Health and vulnerability,22,0.1122448979591836,11.224
Lebanon,Household behaviour and adoption,1,0.0051020408163265,0.51
Lebanon,Housing and thermal comfort,9,0.0459183673469387,4.592
Lebanon,Welfare and care,6,0.0306122448979591,3.061
Lesotho,Governance and planning,17,0.9444444444444444,94.444
Lesotho,Welfare and care,1,0.0555555555555555,5.556
Liberia,Affordability and income constraints,1,0.0059523809523809,0.595
Liberia,Governance and planning,153,0.9107142857142856,91.071
Liberia,Housing and thermal comfort,8,0.0476190476190476,4.762
Liberia,Welfare and care,6,0.0357142857142857,3.571
Lithuania,Governance and planning,106,0.954954954954955,95.495
Lithuania,Household behaviour and adoption,2,0.018018018018018,1.802
Lithuania,Welfare and care,3,0.027027027027027,2.703
Luxembourg,Energy transition and efficiency,1,0.0064935064935064,0.649
Luxembourg,Governance and planning,148,0.961038961038961,96.104
Luxembourg,Health and vulnerability,3,0.0194805194805194,1.948
Luxembourg,Housing and thermal comfort,1,0.0064935064935064,0.649
Luxembourg,Welfare and care,1,0.0064935064935064,0.649
Malawi,Governance and planning,186,0.8230088495575221,82.301
Malawi,Health and vulnerability,20,0.0884955752212389,8.85
Malawi,Housing and thermal comfort,4,0.0176991150442477,1.77
Malawi,Welfare and care,16,0.0707964601769911,7.08
Malaysia,Energy transition and efficiency,3,0.0174418604651162,1.744
Malaysia,Governance and planning,86,0.5,50.0
Malaysia,Health and vulnerability,66,0.3837209302325581,38.372
Malaysia,Household behaviour and adoption,4,0.0232558139534883,2.326
Malaysia,Housing and thermal comfort,1,0.005813953488372,0.581
Malaysia,Welfare and care,12,0.0697674418604651,6.977
Maldives,Affordability and income constraints,3,0.0106007067137809,1.06
Maldives,Energy transition and efficiency,4,0.0141342756183745,1.413
Maldives,Governance and planning,247,0.872791519434629,87.279
Maldives,Health and vulnerability,16,0.0565371024734982,5.654
Maldives,Household behaviour and adoption,2,0.0070671378091872,0.707
